institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
Université de Franche-Comté,France,Europe,Small,Comprehensive,Very High,Public,711,1201,19.93,6.5,2.1,100,12.4,12.5,9.6,76.7,3.2,1.7,490
University of Mumbai,India,Asia,Medium,Full Comprehensive,Very High,Public,711,751,18.78,9.1,28.8,2.8,30.9,2,2,18.3,81.4,1.7,40
Brandeis University,United States,Americas,Medium,Comprehensive,Very High,Private,721,661,18.32,9.4,4.8,53.1,11.6,18,75.1,32.3,16.5,1.1,-60
Budapest University of Technology and Economics,Hungary,Europe,Large,Foucsed,Very High,Public,721,741,18.28,15.6,25.7,13.7,8.5,2.8,14.8,56.6,33.2,26,20
Diponegoro University,Indonesia,Asia,Extra Large,Full Comprehensive,High,Public,721,791,18.38,19.2,41.7,19.3,1.5,27.9,3,27.4,14.6,9.7,70
Drexel University,United States,Americas,Large,Full Comprehensive,Very High,Private,721,601,18.24,8.1,4.5,22.4,28.7,12.6,23.8,73.4,25.1,8.3,-120
Effat University,Saudi Arabia,Asia,Small,Foucsed,Very High,Private,721,708.5249663,18.28,3.8,2.6,23.1,17.6,100,98.3,15.9,3.3,1,-12.47503374
Jadavpur University,India,Asia,Medium,Foucsed,Very High,Public,721,741,18.97,17.8,5.9,9.1,40.6,12.5,1,32.5,14.9,13.4,20
Konkuk University,South Korea,Asia,Large,Full Comprehensive,Very High,Private,721,801,18.48,7,8.1,61.8,17.1,9.5,17.7,46.8,9,28.4,80
Lanzhou University,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,721,791,18.35,8.1,2.5,25.2,45.2,2.3,1.5,64,4.4,7.6,70
Middlesex University,United Kingdom,Europe,Large,Comprehensive,High,Public,721,661,18.4,5.3,5.3,8.1,10.6,84.4,99.5,58.3,15.2,4.3,-60
Riga Technical University,Latvia,Europe,Medium,Comprehensive,Very High,Public,721,751,18.24,11.5,26.8,22,3,15.7,72,29.9,35,6.8,30
Université de Lille,France,Europe,Extra Large,Foucsed,Very High,Public,721,631,18.25,23.5,5.5,4.8,14.7,14.6,15.8,93.3,4.5,10.9,-90
Université de Rennes 1 (University of Rennes),France,Europe,Large,Foucsed,Very High,Public,721,711,18.3,14.9,5.2,11.6,28.3,11.9,11,88.1,6.8,6.9,-10
University of Modena and Reggio Emilia,Italy,Europe,Large,Full Comprehensive,Very High,Public,721,641,18.38,8.6,4,2.9,49.7,4,3.6,53.3,15.2,23.2,-80
University of Trieste,Italy,Europe,Large,Full Comprehensive,High,Public,721,691,18.27,11.7,4,3.6,43.3,7.3,7.9,70.4,14.6,2.6,-30
Universitat Rovira i Virgili,Spain,Europe,Large,Full Comprehensive,High,Public,731,661,18.22,6.4,2.3,15.2,37.9,7.2,19,77.5,1.8,31.6,-70
Université Côte d\'Azur,France,Europe,Extra Large,Full Comprehensive,Very High,Public,731,721,18.16,15.5,4.1,5.7,18.3,29.3,38.3,78.4,8.9,18.4,-10
University of Belgrade,Serbia,Europe,Extra Large,Full Comprehensive,Very High,Public,731,721,18.16,17.6,8.4,4.6,5.3,2.8,4,95.2,96.4,3.7,-10
Altai State University,Russia,Europe,Medium,Foucsed,Very High,Public,741,701,17.89,11.7,3.3,87.5,1.4,6.3,60,18.8,1.9,10.1,-40
Carleton University,Canada,Americas,Large,Comprehensive,Very High,Public,741,671,18.1,11.1,13.5,3.8,15.6,13.2,43.7,67.3,34.3,26.3,-70
Universidad Católica Andres Bello,Venezuela,Americas,Medium,Foucsed,Medium,Private,741,582,20.87,28.4,50.8,4.3,1,3.5,2.7,50.12909454,18.9,6.75,-159
Universidad de Montevideo (UM),Uruguay,Americas,Small,Full Comprehensive,Medium,Private,741,651,18.23,18.6,16.1,79.7,1.1,21.5,3.1,3,6.5,6.75,-90
Universität Regensburg,Germany,Europe,Large,Foucsed,Very High,Public,741,741,18.58,10.3,6,80,6.1,12.5,8.5,69.1,15.3,2,0
Universiti Malaysia Pahang,Malaysia,Asia,Medium,Specialist,Very High,Public,741,781,17.97,10.8,5.3,15.8,35,22.1,8.6,54.7,4,17.7,40
University of Central Florida,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,741,593,17.93,13.7,23,2.9,23.6,9.5,4.3,72.2,9.2,12.1,-148
University of the West of England,United Kingdom,Europe,Extra Large,Comprehensive,High,Public,741,741,17.92,9,9,7.5,11.9,46.9,75.3,76.1,2.1,14.3,0
University of Westminster,United Kingdom,Europe,Large,Comprehensive,High,Public,741,711,17.87,11.5,6.8,5.7,5.1,77.4,100,35.4,21.7,1.7,-30
V. N. Karazin Kharkiv National University,Ukraine,Europe,Large,Full Comprehensive,High,Public,741,691,17.92,12.6,16.9,64.6,1.4,3.3,55.7,29.4,4,4.9,-50
Victoria University,Australia,Oceania,Large,Comprehensive,High,Public,741,711,18.06,6.9,6.1,2.4,34.1,32.7,41.5,44.9,6.4,34.8,-30
Vytautas Magnus University,Lithuania,Europe,Medium,Foucsed,Very High,Public,741,801,17.85,10.4,16.8,41.8,2.4,26.7,47.8,48.1,21.6,6.7,60
Wake Forest University,United States,Americas,Medium,Full Comprehensive,Very High,Private,741,701,17.9,5.1,6.3,100,8.6,3.2,10.9,42.8,15.4,1.7,-40
Instituto Tecnológico Autónomo de México (ITAM),Mexico,Americas,Small,Specialist,Low,Private,751,651,17.83,15.2,31,13.9,1.6,51,1.4,7.7,77.1,1,-100
Kaunas University of Technology,Lithuania,Europe,Medium,Foucsed,Very High,Public,751,801,17.6,11.2,18.5,31.1,7.9,3.5,28.6,64.2,23.2,16.1,50
Technische Universität Braunschweig,Germany,Europe,Large,Comprehensive,Very High,Public,751,751,18.22,10.9,14.3,55.5,5.5,12.5,24.2,66.4,12.6,7.3,0
Tokyo University of Science,Japan,Asia,Large,Foucsed,Very High,Private,751,661,17.78,10.4,51.5,9.4,10,12.5,3.7,20.3,41,2.4,-90
Universidade de Brasília,Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,751,801,17.55,25.3,7.9,7.1,4.2,10.8,1.5,67.5,29.6,35.1,50
Universita' Politecnica delle Marche,Italy,Europe,Medium,Foucsed,Very High,Public,751,721,17.74,5.9,2.8,10.1,48.4,4.9,6.3,77.7,1.9,6.4,-30
University of Calcutta,India,Asia,Large,Comprehensive,Very High,Public,751,801,17.59,17.1,6.5,5.5,21.4,24.7,1.1,56,49.8,1.5,50
University of Engineering & Technology (UET) Lahore,Pakistan,Asia,Large,Specialist,Very High,Public,751,791,17.6,10,43.2,18,6.7,1.1,1.8,41.6,47.7,7.5,40
University of Malta,Malta,Europe,Medium,Full Comprehensive,High,Public,751,851,17.67,6.1,4.6,31.7,7.2,18,19.2,75.9,95.9,1.9,100
University of Messina (UniME),Italy,Europe,Large,Full Comprehensive,Very High,Public,751,851,17.68,8.4,2.3,14.2,36.7,1.3,6,75.6,1.6,36.6,100
Adam Mickiewicz University  Poznan,Poland,Europe,Large,Comprehensive,Very High,Public,761,731,17.55,16,9.1,33.3,4.8,7.7,8.3,86.7,7.5,31.6,-30
Bangladesh University of Engineering and Technology,Bangladesh,Asia,Medium,Specialist,Very High,Public,761,801,18,16.9,36.6,13.6,14.9,12.5,1,25.1,22.2,1.2,40
King Faisal University,Saudi Arabia,Asia,Large,Full Comprehensive,High,Public,761,851,17.38,16.4,12.7,14.5,2.7,98,3.9,59.3,8.7,1.5,90
Nanjing University of Aeronautics and Astronautics,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,761,801,17.51,5.5,3.4,12.4,57.8,5.3,3,39.7,1.4,1.6,40
University of Cincinnati,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,761,691,17.4,11,6,19.4,22.9,4.3,12.4,69,25.3,22.5,-70
University of Colorado  Denver,United States,Americas,Large,Full Comprehensive,High,Public,761,721,17.42,8.2,6.1,100,3.6,3.4,8.1,45.7,5.6,3.8,-40
University of Patras,Greece,Europe,Large,Full Comprehensive,Very High,Public,761,791,17.52,11.7,17.1,2.7,27,1.4,4.8,60.6,3.7,44.9,30
Addis Ababa University,Ethiopia,Africa,Extra Large,Comprehensive,High,Public,771,851,18.34,6.4,9.3,58.8,1.7,12.5,9.6,55.2,95.5,3.3,80
Bournemouth University,United Kingdom,Europe,Large,Comprehensive,High,Public,771,731,17.1,5.8,6.4,6.1,16.4,80.3,47.1,72.6,4.8,5.3,-40
Chiba University,Japan,Asia,Large,Full Comprehensive,Very High,Public,771,701,17.28,16.6,8.5,66.1,8.8,7.5,4.3,28.9,3.8,8.7,-70
China University of Geosciences,China (Mainland),Asia,Large,Foucsed,Very High,Public,771,801,17.29,5.1,1.4,53.6,31.8,1.5,2.7,67,1.4,4,30
Colegio de México,Mexico,Americas,Small,Specialist,Very High,Public,771,681,17.12,14.9,2.5,100,1.7,8.5,16.4,9.6,3.2,1,-90
Holy Spirit University of Kaslik,Lebanon,Asia,Medium,Foucsed,High,Private,771,661,17.12,6.7,6.4,62.3,2.1,98.9,37.8,6.5,5.7,1.1,-110
Universidad del Rosario,Colombia,Americas,Medium,Full Comprehensive,High,Private,771,711,17.3,15.8,28.5,24.2,2.5,7.2,2.7,31.8,41.1,24.5,-60
Université de Tunis El Manar,Tunisia,Africa,Large,Full Comprehensive,Very High,Public,771,951,17.08,9.4,4.3,26,5.1,39.5,7.8,82.1,54.1,16.3,180
University of Maryland  Baltimore County,United States,Americas,Large,Full Comprehensive,High,Public,771,711,17.33,10.2,6.8,14.1,13.5,49.8,25.8,45,4.5,57.7,-60
University of Pecs,Hungary,Europe,Large,Full Comprehensive,High,Public,771,801,17.24,14.3,11.9,41.4,2.8,9.3,64.3,40.3,4,11.3,30
Verona University,Italy,Europe,Large,Foucsed,Very High,Public,771,801,17.13,9.1,2.7,4.1,41.6,4.5,4.2,71,3.1,22.5,30
Babes-Bolyai University,Romania,Europe,Extra Large,Comprehensive,Very High,Public,781,801,17.04,15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7,42.7,20
Kasetsart University,Thailand,Asia,Extra Large,Comprehensive,Very High,Public,781,751,16.99,25.2,18.6,6.5,2.5,4.3,1.3,51.9,18.5,33.9,-30
National University of Uzbekistan,Uzbekistan,Asia,Large,Foucsed,High,Public,781,708.5249663,17.06,25.5,15.8,5.2,1.3,89,2.5,11.8,20.4,1.4,-72.47503374
Qassim University,Saudi Arabia,Asia,Extra Large,Full Comprehensive,High,Public,781,901,16.99,10.6,5,33.9,1.8,98.3,7.9,68.3,2.4,9.3,120
Texas Tech University,United States,Americas,Extra Large,Full Comprehensive,High,Public,781,801,17.03,10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7,55.4,20
The New School,United States,Americas,Medium,Foucsed,Very High,Private,781,641,17.03,15.2,8.2,41.1,2.6,5.7,92.3,19.6,13.5,1,-140
Universidad de Belgrano,Argentina,Americas,Medium,Comprehensive,Low,Private,781,761,17.39,9.4,12.7,86.6,1,5.4,24.1,2.5,37.4,6.75,-20
Universidade Federal de Santa Catarina,Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,781,801,17.02,19.3,4.8,19.2,8.5,4.1,2.2,62.1,17.3,52.1,20
University of Latvia,Latvia,Europe,Large,Full Comprehensive,High,Public,781,801,17.05,11.5,16.7,5.9,5.3,12.1,5.1,71.5,90.4,9.8,20
University of Mons,Belgium,Europe,Medium,Comprehensive,Very High,Public,781,691,16.98,7.1,7,3.4,37.3,35,33.7,43.7,6.1,1.6,-90
Zürcher Hochschule Winterthur,Switzerland,Europe,Medium,Comprehensive,Very High,Public,781,1401,17,5.4,6.6,75,2.7,65.9,12.8,41.4,5.3,1.6,620
Alfaisal University,Saudi Arabia,Asia,Small,Foucsed,Very High,Private,791,731,16.85,4.8,3,21.6,10.6,100,89,19.1,4.4,1.1,-60
Ivane Javakhishvili Tbilisi State University,Georgia,Asia,Large,Foucsed,High,Public,791,801,16.79,10.4,1.2,73.9,1.2,1.9,3.2,22.7,88.4,1,10
Keele University,United Kingdom,Europe,Medium,Full Comprehensive,Very High,Public,791,781,16.9,6,4.4,14.4,26.2,51.6,30.7,62.9,6.9,3.1,-10
New Jersey Institute of Technology (NJIT),United States,Americas,Medium,Foucsed,Very High,Public,791,641,16.8,4.8,6.7,10.2,30.4,31.5,52.9,29.1,5.1,26.5,-150
Sechenov University,Russia,Europe,Large,Specialist,Very High,Public,791,771,16.86,5.3,5,57.4,4.3,9,63,83.6,1.9,1,-20
Universidad de Antioquia,Colombia,Americas,Extra Large,Full Comprehensive,High,Public,791,701,16.94,29.1,20.8,4.1,4.3,3.7,1.2,48.1,20.4,2.9,-90
University of Kentucky,United States,Americas,Large,Full Comprehensive,Very High,Public,791,681,16.81,11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9,10.1,-110
University of New Mexico,United States,Americas,Large,Full Comprehensive,Very High,Public,791,631,16.86,10.5,8,43.5,14.9,8.2,4,73.1,7.3,11,-160
Vellore Institute of Technology (VIT),India,Asia,Extra Large,Comprehensive,Very High,Private,791,851,16.95,12.7,16.1,7.3,18.9,8.9,2.9,76.9,6.1,29.6,60
Wayne State University,United States,Americas,Large,Full Comprehensive,Very High,Public,791,751,16.86,7.6,3.4,62.1,10.6,13.3,5.4,73.6,19.4,3.1,-40
Al-Ahliyya Amman University,Jordan,Asia,Medium,Foucsed,Very High,Private,801,801,15.8,9.6,10.1,9.4,2.7,75.5,100,16.9,4.6,1.5,0
Alexandria University,Egypt,Africa,Extra Large,Full Comprehensive,Very High,Public,801,901,16.23,23.1,18.3,4.5,2,1.7,4.8,76.4,24.3,6.9,100
Ankara Üniversitesi,Turkey,Asia,Extra Large,Full Comprehensive,High,Public,801,901,16.58,20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5,2.9,100
Asia University Taiwan,Taiwan,Asia,Medium,Foucsed,Very High,Semi-Autonomous,801,901,16.6,5.9,1.8,3.6,52.5,9.9,3.2,57.1,2,1.7,100
Beijing University of Technology,China (Mainland),Asia,Large,Comprehensive,Very High,Public,801,801,15.7,7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2,1.6,0
Belarusian National Technical University (BNTU),Belarus,Europe,Large,Specialist,Medium,Public,801,801,16.43,14.8,26.7,51,1,2.1,34.1,5.1,5.6,6.75,0
Birla Institute of Technology and Science  Pilani,India,Asia,Large,Comprehensive,Very High,Private,801,951,16.04,11,19.7,8,20.4,2.2,2.5,37.6,25.4,30.4,150
Edinburgh Napier University,United Kingdom,Europe,Large,Comprehensive,High,Public,801,801,16.55,5,5,4,11.8,77.5,86,60.1,4.9,2.2,0
Gdansk University of Technology,Poland,Europe,Large,Foucsed,Very High,Public,801,851,16.18,9.4,15.2,29.6,12.7,5.3,4,65.8,3.2,33.3,50
Huazhong Agricultural University,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,801,851,16.26,4.2,2.1,6,59.7,3.7,1.6,31.6,3,2.9,50
Immanuel Kant Baltic Federal University,Russia,Europe,Medium,Comprehensive,Very High,Public,801,801,15.97,7.6,2.5,79.4,1.8,21.8,40.2,35.2,1.9,1.2,0
Instituto Politécnico Nacional (IPN),Mexico,Americas,Extra Large,Foucsed,Very High,Public,801,741,15.95,19.1,28.8,9.1,2,2.2,1.1,46,6.8,35.7,-60
Jouf University,Saudi Arabia,Asia,Large,Full Comprehensive,High,Public,801,801,15.92,11.7,5.1,37.1,2.3,100,2.6,43.5,2.4,1,0
Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,Asia,Medium,Full Comprehensive,Medium,Public,801,781,15.68,16.7,27.9,44.6,1.2,7.1,16.3,3.2,7.7,1.5,-20
Kuwait University,Kuwait,Asia,Large,Full Comprehensive,High,Public,801,851,16.36,14.7,7.9,6.8,2.9,20.4,19.4,39.3,93.8,17.1,50
Liverpool John Moores University,United Kingdom,Europe,Large,Comprehensive,Very High,Public,801,751,16.07,10,6.8,8,12.3,46.7,22.4,87.7,5.4,13.6,-50
London South Bank University,United Kingdom,Europe,Large,Comprehensive,High,Public,801,851,15.99,3.3,2.9,9.1,4.4,87.1,96.8,47.6,8.5,15.4,50
Maynooth University,Ireland,Europe,Medium,Foucsed,Very High,Public,801,801,16.15,10.4,7.7,9.2,12.7,87.4,16.7,48.5,9.2,6.4,0
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,Europe,Large,Comprehensive,Very High,Public,801,731,16.12,16.2,31.8,37.4,1.5,1,2,20.4,21.3,4.3,-70
Ocean University of China,China (Mainland),Asia,Large,Full Comprehensive,Very High,Public,801,901,16.23,5.4,2.7,9.4,50.5,3.2,1.9,51.1,3,4,100
Philipps-Universität Marburg,Germany,Europe,Large,Full Comprehensive,High,Public,801,761,16,12.7,8.8,5.2,25,14.9,20.7,61.6,4.8,5.1,-40
Pontificia Universidad Católica de Valparaíso,Chile,Americas,Large,Comprehensive,Very High,Private,801,681,16.7,27,24.4,4.7,6.6,11.3,1.6,39.9,8.7,1.6,-120
Rutgers UniversityNewark,United States,Americas,Medium,Comprehensive,Very High,Public,801,771,16.64,10.1,4.9,17.5,17.6,25.3,32.7,27.9,36.9,29.3,-30
Syracuse University,United States,Americas,Large,Comprehensive,Very High,Private,801,781,16.2,12.9,8.7,11.6,10.6,5.8,39.3,55.5,42.7,11.6,-20
The Catholic University of Korea,South Korea,Asia,Medium,Full Comprehensive,Very High,Private,801,781,16.72,4.5,2.9,98.6,14.1,3.8,22.5,10.5,1.9,6.5,-20
Toronto Metropolitan University,Canada,Americas,Extra Large,Comprehensive,Very High,Public,801,851,15.63,8,12,1.8,26.4,35.4,8.1,57,15.1,3.8,50
TU Dortmund University,Germany,Europe,Large,Comprehensive,Very High,Public,801,851,16.24,14.1,16,28.1,6.2,22.4,17.1,61.1,6.8,3.7,50
Universidad Anáhuac México,Mexico,Americas,Large,Comprehensive,Medium,Private,801,771,16.06,13.1,20.4,50,1.1,5.3,3,5.8,61.8,1,-30
Universidad Iberoamericana IBERO,Mexico,Americas,Medium,Full Comprehensive,Medium,Private,801,691,16.56,18.5,24.3,32.3,1.3,5.4,2.2,5.2,63.6,1.1,-110
Universidad San Francisco de Quito (USFQ),Ecuador,Americas,Medium,Full Comprehensive,High,Private,801,801,16.31,16,8.6,40.1,2.4,53.1,1.9,24.9,13.2,21.5,0
Università degli Studi di Perugia,Italy,Europe,Large,Full Comprehensive,Very High,Public,801,661,16.15,9.1,2.3,3.5,40.9,6.4,5.4,65.9,1.7,11.5,-140
Universitas Brawijaya,Indonesia,Asia,Extra Large,Full Comprehensive,High,Public,801,801,16.39,19.2,42.4,11.5,1.4,13.7,1.4,19.6,13.1,9,0
Universität Duisburg-Essen,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,801,771,16.28,11.3,4.2,13.2,11.2,35,39.4,81.4,12.2,5.9,-30
Universität Rostock,Germany,Europe,Large,Full Comprehensive,High,Public,801,761,17.22,7.3,2.9,84.4,5.2,12.5,13.2,68.8,4.4,3.4,-40
Université de Lorraine,France,Europe,Extra Large,Foucsed,Very High,Public,801,721,16.73,13.6,3.3,7,12.9,27.6,27.4,95.9,14.8,11.8,-80
Universiti Tunku Abdul Rahman (UTAR),Malaysia,Asia,Large,Full Comprehensive,High,Private,801,801,15.9,14,30.9,12.4,5.8,12.7,4.9,45.5,3.8,26.5,0
University of Alaska Fairbanks,United States,Americas,Small,Comprehensive,Very High,Public,801,781,16.42,2.7,2,98.8,12.9,4.8,3,42.6,4.2,2.5,-20
University of Alicante,Spain,Europe,Large,Full Comprehensive,Very High,Public,801,801,15.66,13.5,6.7,25.3,7.7,7.3,12.8,71.7,7.6,31.3,0
University of Baghdad,Iraq,Asia,Extra Large,Full Comprehensive,Very High,Public,801,951,15.74,11,16.9,24.6,1.5,2.4,1.1,63.5,72.7,3.1,150
University of Bari,Italy,Europe,Large,Foucsed,Very High,Public,801,741,15.72,12.4,3,4.6,25,4.9,2,81.6,7.7,25.7,-60
University of Brighton,United Kingdom,Europe,Large,Foucsed,Very High,Public,801,771,16.66,7.9,6.1,8.5,14.9,54.8,51.1,72.5,6.1,6.5,-30
University of Bucharest,Romania,Europe,Extra Large,Foucsed,Very High,Public,801,851,16.68,15.2,19.5,7.1,4.2,2.6,2,69.1,53.4,25.7,50
University of Hyderabad,India,Asia,Medium,Full Comprehensive,Very High,Public,801,801,15.92,13.2,3,14.5,41.5,1.9,2,27,3.1,1.2,0
University of Oregon,United States,Americas,Large,Comprehensive,Very High,Public,801,721,16.74,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,16.1,-80
University of Petroleum and Energy Studies (UPES),India,Asia,Medium,Foucsed,Very High,Semi-Autonomous,801,901,16.05,21.8,6.1,39.5,3.4,18.2,1.2,56.9,1.9,1,100
University of Salerno,Italy,Europe,Large,Full Comprehensive,Very High,Public,801,801,16.7,8.6,2.4,5.6,37.1,3.3,1.6,87.4,4,19.2,0
University of Stavanger,Norway,Europe,Medium,Comprehensive,Very High,Public,801,1401,17.8,7.1,5.8,84.6,5,12.5,9.6,69.6,10,5.1,600
University of Ulsan,South Korea,Asia,Medium,Full Comprehensive,Very High,Private,801,751,16.7,5,2.3,60,33.6,2,2.4,28.8,3.8,5.6,-50
Wuhan University of Technology,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,801,851,16.66,6.9,2.5,11.5,47,12.5,2.5,51,5.8,1.5,50
AGH University of Science and Technology,Poland,Europe,Large,Comprehensive,Very High,Public,851,901,14.85,9.6,13.9,41.5,6.5,2.9,5.3,75.6,3.2,1.7,50
Al-Quds University,"Palestinian Territory, Occupied",Asia,Medium,Full Comprehensive,Medium,Public,851,1001,14.81,5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5,3,150
Applied Science Private University - Jordan,Jordan,Asia,Small,Comprehensive,High,Semi-Autonomous,851,708.5249663,14.6,9.9,15.7,28.6,3.1,39.3,59.7,10.4,4.6,1.8,-142.4750337
Charles Sturt University,Australia,Oceania,Large,Comprehensive,Very High,Public,851,801,14.57,5.1,5.4,8.2,8.1,45.4,47.9,53.4,7.4,41.7,-50
Chonnam National University,South Korea,Asia,Large,Full Comprehensive,Very High,Public,851,851,15.2,9.3,4.7,45.4,12.4,9,7.3,28.5,4.7,44.3,0
Chungnam National University,South Korea,Asia,Large,Full Comprehensive,Very High,Public,851,851,14.57,8.8,7.8,46.3,10.7,7.2,9.2,32.7,5,25.7,0
Clarkson University,United States,Americas,Small,Comprehensive,Very High,Private,851,791,15.54,1.3,1.9,13.5,41.8,48.5,15,30.6,7.9,1.2,-60
CY Cergy Paris University,France,Europe,Medium,Foucsed,Very High,Public,851,851,14.54,3.7,2.5,49.5,5,47.2,45.9,46,1.5,1.4,0
Donghua University,China (Mainland),Asia,Large,Foucsed,Very High,Public,851,901,15.45,3.8,1.6,25.5,47.3,2.2,3.1,31.1,3.7,1.1,50
Georgia State University,United States,Americas,Large,Comprehensive,Very High,Public,851,851,15.58,11.3,14.2,4.3,22.4,4.8,10.4,62.3,18.2,7.2,0
Gulf University for Science and Technology,Kuwait,Asia,Small,Foucsed,High,Semi-Autonomous,851,851,15.31,14.6,9.3,11.2,4.8,100,27.7,9.3,11,1.1,0
Jamia Millia Islamia,India,Asia,Medium,Comprehensive,Very High,Public,851,951,14.56,9.3,3.1,33.6,26,3.2,5.2,43,1.9,1.6,100
Kansas State University,United States,Americas,Large,Comprehensive,Very High,Public,851,851,14.58,8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5,10.2,0
Karaganda State Technical University,Kazakhstan,Asia,Medium,Foucsed,High,Public,851,801,14.65,9.7,7.7,84.6,1.1,10,18.8,2.4,5.8,1.2,-50
Kyrgyz Russian Slavic University,Kyrgyzstan,Asia,Medium,Comprehensive,Medium,Public,851,708.5249663,16.82,9.3,7,99.8,1,12.5,9.6,3.1,24.1,6.75,-142.4750337
Mendel University in Brno,Czech Republic,Europe,Medium,Foucsed,Very High,Public,851,901,14.54,6.2,6.5,55.1,4.1,11.2,32.1,59.1,3.8,1.2,50
Nagasaki University,Japan,Asia,Medium,Foucsed,Very High,Public,851,801,15.01,6.9,2.3,81,6.3,5.8,4.7,49.2,3,2.1,-50
Northwest Agriculture and Forestry University,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,851,951,15.64,4.5,1.4,28.5,36.8,12.5,1.4,58.8,3,1.6,100
North-West University,South Africa,Africa,Extra Large,Comprehensive,Very High,Public,851,801,14.67,7.4,11,4.9,14.9,6.6,2,92.9,16.7,28.4,-50
Okayama University,Japan,Asia,Large,Full Comprehensive,Very High,Public,851,901,15.01,8.9,3.7,61.3,7.7,6.1,6.3,52.5,2.9,14.5,50
Oklahoma State University,United States,Americas,Large,Full Comprehensive,High,Public,851,851,14.76,8.3,8.1,9.2,13.3,49.9,6.1,66.8,17.3,9.4,0
Pavol Jozef afárik University in Koice,Slovakia,Europe,Medium,Full Comprehensive,High,Public,851,851,14.63,4.7,5.1,59.7,3,5.1,65.3,41.7,4.6,1,0
Poznan University of Life Sciences,Poland,Europe,Medium,Foucsed,Very High,Public,851,801,14.98,5.6,2.2,94.3,6.4,1.9,7.9,31,3.3,1.1,-50
Shahid Beheshti University (SBU),"Iran, Islamic Republic of",Asia,Large,Foucsed,Very High,Public,851,951,14.96,7.9,7.3,4.1,33.3,1.6,1.6,64.7,19,1.5,100
Swarthmore College,United States,Americas,Small,Comprehensive,High,Private,851,741,15.54,3.4,2.4,88.8,11.7,8.7,21.6,12.3,15.2,1,-110
Technological University Dublin,Ireland,Europe,Large,Comprehensive,High,Public,851,851,15.54,12.6,13.1,12.3,3.1,31.8,38.8,43.9,16.2,28.2,0
Thapar Institute of Engineering & Technology,India,Asia,Medium,Foucsed,Very High,Public,851,951,14.82,4.7,4.4,8.8,46.1,5.2,1.8,31.1,3.1,11.8,100
Tokyo University of Agriculture and Technology,Japan,Asia,Medium,Specialist,Very High,Public,851,801,15.44,13.8,7.4,12.9,30.5,5.4,7.1,40.4,1.9,1.3,-50
Universidad de Valladolid,Spain,Europe,Large,Comprehensive,Very High,Public,851,951,15.35,10.5,3.8,34.4,4.3,7,3.6,80.2,11.9,43.9,100
Universidad ORT Uruguay,Uruguay,Americas,Small,Foucsed,High,Private,851,771,14.73,11.2,12.4,79,1.1,15.8,1.9,3.4,5.7,1,-80
Universita' degli Studi di Ferrara,Italy,Europe,Large,Full Comprehensive,High,Public,851,851,14.98,6.7,2.6,2.6,34.6,2.9,3.6,70,4.1,27.3,0
Université de Nantes,France,Europe,Extra Large,Comprehensive,Very High,Public,851,771,15.32,10.4,3.4,7.8,21.4,19.8,15.1,87.3,2.8,7.5,-80
Université de Sherbrooke,Canada,Americas,Large,Full Comprehensive,High,Public,851,801,14.76,6.8,4.2,18.8,16.9,54.7,7.6,43,23.4,8,-50
Université du Québec,Canada,Americas,Extra Large,Full Comprehensive,High,Public,851,751,14.99,15.3,7.6,1.8,10.9,32.9,11,62.6,21.6,9.9,-100
University at Albany SUNY,United States,Americas,Large,Comprehensive,Very High,Public,851,771,15.15,8.1,4.5,5.4,33.9,3.9,7.2,66,4.2,13.2,-80
University Duesseldorf,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,851,801,15.77,12.3,8.5,44.3,7.2,12.5,14.1,66.2,3.8,2.2,-50
University of Dubai,United Arab Emirates,Asia,Small,Specialist,Low,Private,851,801,15.02,5.2,4.2,10.6,11,100,72,8.2,10.2,1,-50
UNIVERSITY OF GDANSK,Poland,Europe,Large,Comprehensive,Very High,Public,851,951,14.68,12,6.2,34.9,3.9,4.8,2.4,70.6,14.1,25.7,100
