country,year,indicator,value,category
Austria,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,7.14,attainment
Austria,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),10.77,attainment
Austria,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,7.51,attainment
Austria,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),11.22,attainment
Austria,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,6.7,attainment
Austria,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),10.14,attainment
Austria,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,5.46,attainment
Austria,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),8.33,attainment
Austria,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,4.46,attainment
Austria,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.91,attainment
Austria,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,3.6,attainment
Austria,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.46,attainment
Austria,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,2.4,attainment
Austria,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.73,attainment
Austria,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,2.42,attainment
Austria,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.77,attainment
Austria,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,2.41,attainment
Austria,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.77,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.43,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.42,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.0,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.0,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.61,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.45,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.52,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.51,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.48,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.38,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.68,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.55,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.67,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.56,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.65,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.67,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.6,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.67,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.25,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.54,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.19,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.44,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.06,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.2,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.03,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.11,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.02,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.06,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.02,attainment
Bahrain,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.06,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,9.2,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),12.5,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.0,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,13.72,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),16.62,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,11.86,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),14.11,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,10.87,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),12.91,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,15.54,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.4,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,15.4,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.16,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,15.02,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),17.64,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,13.94,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),16.24,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,5.68,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.63,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,4.48,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.17,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,1.47,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.75,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.72,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.95,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.36,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.51,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,0.41,attainment
Bahrain,1995,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.51,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,9.17,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),11.99,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.0,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,10.18,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),12.32,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,11.7,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),13.7,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,8.75,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),10.38,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,12.65,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),14.93,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,12.86,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.07,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,15.43,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),17.96,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,15.5,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),17.88,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,12.64,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),14.42,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,10.38,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),11.86,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,4.61,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.38,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,2.53,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.0,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,1.35,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.62,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,1.39,attainment
Bahrain,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.62,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.07,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.11,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.01,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.08,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.13,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.16,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.08,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.11,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.1,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.14,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.12,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.11,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.12,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.12,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.07,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.06,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.09,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.01,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.05,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.01,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.04,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.04,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.05,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.04,attainment
Bangladesh,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.05,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,1.27,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),2.34,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.06,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.33,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,1.92,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.34,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,1.59,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),2.41,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,1.98,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.13,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,1.77,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.75,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,1.8,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.57,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,1.89,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.71,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,1.83,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.71,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,1.35,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.99,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,1.24,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.96,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,0.17,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.26,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.16,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.24,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.73,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.12,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,0.73,attainment
Bangladesh,1995,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.14,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,1.97,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.62,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.61,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.17,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,2.28,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.53,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,2.2,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.29,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,2.71,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.42,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,2.26,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.61,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,2.25,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.23,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,2.47,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.54,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,2.48,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.54,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,1.85,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.63,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,1.81,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.63,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,0.94,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.33,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,0.87,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.24,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,1.02,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.46,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,1.02,attainment
Bangladesh,1995,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.47,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.1,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.04,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.04,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.09,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.14,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.12,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.14,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.13,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.12,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.12,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.06,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.07,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.06,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.07,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.05,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.05,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.08,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.03,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.06,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.03,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.05,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.04,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.05,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.03,attainment
Barbados,1995,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.05,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,1.48,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),2.51,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.76,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.08,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,0.62,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.41,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,1.64,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),2.48,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,2.73,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.32,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,2.77,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.32,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,2.42,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),3.45,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,1.22,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.75,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,1.18,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.75,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,1.08,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.6,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,1.01,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.6,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,0.67,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.03,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.66,attainment
Barbados,1995,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.02,attainment
